,NT1,NT2,NT3,NT4,NT5,NT6,NT7,NT8,NT9,NT10,NT11,NT12,NT13,NT14,NT15,NT16,NT17,NT18,NT19,NT20,NT21,NT22,NT23,NT24,NT25,NT26,NT27,NT28,NT29,NT30,NT31,NT32,NT33,NT34,NT35,NT36,NT37,NT38,NT39,NT40,NT41
OT1,0.5782,0.4865,0.1866,0.1535,0.1477,0.1556,0.1462,0.1627,0.153,0.1911,0.1724,0.1534,0.0854,0.1327,0.175,0.642,0.1967,0.1791,0.1866,0.4756,0.6114,0.1168,0.5123,0.0779,0.5293,0.2032,0.1218,0.0154,0.5933,0.5552,0.0924,0.5101,0.6383,0.1911,0.0738,0.085,0.0154,0.1911,0.217,0.2303,0.0673
OT2,0.4696,0.4159,0.1217,0.1232,0.089,0.1224,0.0886,0.1368,0.1086,0.1301,0.096,0.0592,0.04,0.1105,0.1656,0.5586,0.2183,0.1343,0.1217,0.3833,0.4512,0.0642,0.41,0.0,0.468,0.1,0.0716,0.0,0.4827,0.4644,0.0313,0.4574,0.5085,0.1301,0.0079,0.0529,0.0,0.1301,0.1224,0.0859,0.0
OT3,0.2655,0.1544,0.0653,0.2265,0.3145,0.2456,0.3269,0.2492,0.3327,0.1277,0.0167,0.0,0.0,0.1221,0.1952,0.0658,0.044,0.0312,0.0653,0.2005,0.1369,0.081,0.1513,0.1681,0.1474,0.0318,0.0797,0.0,0.1477,0.1417,0.1626,0.1551,0.1103,0.1277,0.0,0.1523,0.0,0.1277,0.2361,0.3915,0.0
OT4,0.4316,0.3529,0.1874,0.2147,0.3813,0.2168,0.3796,0.2339,0.3917,0.2626,0.2943,0.2081,0.2405,0.2734,0.4156,0.1637,0.306,0.2657,0.1874,0.3516,0.3894,0.1693,0.381,0.1891,0.2358,0.1686,0.1746,0.1578,0.3916,0.2977,0.295,0.3394,0.3532,0.2626,0.0123,0.1845,0.1578,0.2626,0.3544,0.5009,0.1804
OT5,0.2745,0.1925,0.118,0.118,0.2226,0.1047,0.2184,0.125,0.2274,0.1412,0.0,0.0634,0.1602,0.1709,0.1687,0.1012,0.0761,0.0532,0.118,0.2411,0.3158,0.1046,0.2771,0.4458,0.2246,0.1515,0.1193,0.0941,0.2687,0.3202,0.1838,0.0906,0.2786,0.1412,0.2912,0.1192,0.0941,0.1412,0.185,0.3562,0.1348
OT6,0.6089,0.3671,0.1821,0.2168,0.2951,0.206,0.29,0.2224,0.2989,0.2081,0.06,0.1342,0.1337,0.2145,0.234,0.3367,0.1553,0.1342,0.1821,0.3919,0.5849,0.1618,0.5272,0.3372,0.4888,0.1766,0.1739,0.1371,0.4364,0.454,0.3308,0.3237,0.4713,0.2081,0.2781,0.256,0.1371,0.2081,0.2473,0.3868,0.1289
OT7,0.3175,0.2343,0.0962,0.1753,0.1729,0.1741,0.1686,0.1976,0.1836,0.1155,0.1328,0.1282,0.0728,0.0934,0.1857,0.2006,0.1367,0.1102,0.0962,0.1841,0.1993,0.0442,0.2366,0.1052,0.2211,0.1221,0.0429,0.0225,0.2315,0.1701,0.3059,0.1242,0.1595,0.1155,0.0719,0.1734,0.0225,0.1155,0.215,0.152,0.0
