,NT1,NT2,NT3,NT4,NT5,NT6,NT7,NT8,NT9,NT10,NT11,NT12,NT13,NT14,NT15,NT16,NT17,NT18,NT19,NT20
OT1,0.5428,0.5771,0.2486,0.3525,0.284,0.1856,0.269,0.5297,0.6967,0.5848,0.1926,0.559,0.5415,0.4453,0.0578,0.586,0.6104,0.2406,0.1946,0.6937
OT2,0.4388,0.5451,0.1579,0.1488,0.1588,0.1299,0.2335,0.4302,0.5755,0.6006,0.1354,0.4517,0.4066,0.36,0.0328,0.4617,0.5032,0.1139,0.1093,0.5077
OT3,0.2176,0.3193,0.3523,0.4768,0.3852,0.3835,0.2593,0.2046,0.168,0.1342,0.0343,0.2325,0.2016,0.2196,0.0653,0.1991,0.2168,0.1829,0.2274,0.237
OT4,0.4494,0.4418,0.4358,0.4821,0.3862,0.4746,0.5195,0.4317,0.2926,0.3671,0.295,0.5506,0.4931,0.3459,0.0708,0.5474,0.412,0.4661,0.4942,0.4736
OT5,0.3125,0.1617,0.2989,0.3904,0.286,0.3272,0.2548,0.2516,0.1759,0.1191,0.0716,0.2118,0.3378,0.3844,0.2036,0.2849,0.2423,0.2738,0.2538,0.2684
OT6,0.5448,0.4565,0.3119,0.4532,0.2606,0.4164,0.292,0.4077,0.4256,0.3488,0.1785,0.5217,0.567,0.5406,0.258,0.5071,0.5138,0.2406,0.2793,0.4881
OT7,0.237,0.2852,0.2229,0.3571,0.2976,0.3039,0.1684,0.1707,0.1709,0.135,0.1129,0.21,0.2291,0.258,0.1347,0.2761,0.2997,0.1727,0.1428,0.1832
